period,variant,start,end,candles,initial_balance,final_balance,total_return_percent,annualized_return_percent,maximum_drawdown_percent,profit_factor,win_rate_percent,trades,average_trade,exposure_percent,total_fees,blocked_entries,blocked_by_atr,blocked_by_adx,waiting_entries,pullback_confirmed,timed_out_entries,cancelled_entries,pullback_rate_percent,average_wait_bars,average_entry_price_improvement_percent
wf_3,pullback,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,834.9940482959281,-16.50059517040719,-30.50918925253445,20.6070870645809,0.2393558521718406,14.285714285714285,14,-11.786139407433707,6.9997697444163025,24.40424515592322,0,0,0,49,14,31,4,28.57142857142857,3.0,0.4817934549222956
wf_3,atr_pullback,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,851.7277904132023,-14.827220958679765,-27.66963874387577,17.86197543731504,0.20716851703709593,8.333333333333332,12,-12.356017465566472,5.618236242228874,21.577796585123597,2,2,0,49,14,31,4,28.57142857142857,3.0,0.4848409791504074
wf_3,adx_pullback,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,994.4901115741651,-0.5509888425834901,-1.1089843203039296,8.046282141586863,0.8891405762181933,25.0,4,-1.3774721064587254,2.4867603039373702,7.770699918342949,10,0,10,49,14,31,4,28.57142857142857,3.0,0.4834840236480749
wf_3,atr_adx_pullback,2025-01-01T00:00:00+00:00,2025-06-30T23:00:00+00:00,4344,1000.0,994.4901115741651,-0.5509888425834901,-1.1089843203039296,8.046282141586863,0.8891405762181933,25.0,4,-1.3774721064587254,2.4867603039373702,7.770699918342949,10,2,10,49,14,31,4,28.57142857142857,3.0,0.4834840236480749
wf_4,baseline,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1037.6837219149343,3.768372191493427,7.6208639744779205,34.95391529825531,1.035534664655405,26.666666666666668,45,0.8374160425540949,51.00792751981879,113.02668453166997,0,0,0,0,0,0,0,0.0,0.0,0.0
wf_4,atr,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1042.2796446527343,4.2279644652734305,8.569310272676356,34.66582483931091,1.0400420224866873,27.27272727272727,44,0.9609010148348706,50.21517553793885,110.94081965365045,1,1,0,0,0,0,0,0.0,0.0,0.0
wf_4,adx,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,906.7168797042707,-9.32831202957293,-17.669334267874536,35.19456162368552,0.8536757388478486,23.076923076923077,26,-3.587812319066512,25.798414496036244,56.60822380009905,19,0,19,0,0,0,0,0.0,0.0,0.0
wf_4,atr_adx,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,906.7168797042707,-9.32831202957293,-17.669334267874536,35.19456162368552,0.8536757388478486,23.076923076923077,26,-3.587812319066512,25.798414496036244,56.60822380009905,19,1,19,0,0,0,0,0.0,0.0,0.0
wf_4,pullback,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1414.5708309634078,41.45708309634079,99.09474396123774,19.142722158519305,2.034529532024672,22.22222222222222,18,23.031712831300435,19.411098527746322,51.84492814834046,0,0,0,45,18,23,4,40.0,2.7222222222222223,0.31751378875071307
wf_4,atr_pullback,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1419.9418002786792,41.99418002786792,100.59844442259464,18.83571599898526,2.0621684450310642,23.52941176470588,17,24.702458839922308,18.640996602491505,48.990292310005124,1,1,0,45,18,23,4,40.0,2.7222222222222223,0.33248904839749005
wf_4,adx_pullback,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1113.7284790875535,11.372847908755352,23.845042994193477,13.533075093960282,1.829942551067205,14.285714285714285,7,16.246925583936218,7.180067950169875,15.476411787272703,11,0,11,45,18,23,4,40.0,2.7222222222222223,0.48949130617614584
wf_4,atr_adx_pullback,2025-07-01T00:00:00+00:00,2025-12-31T23:00:00+00:00,4416,1000.0,1113.7284790875535,11.372847908755352,23.845042994193477,13.533075093960282,1.829942551067205,14.285714285714285,7,16.246925583936218,7.180067950169875,15.476411787272703,11,1,11,45,18,23,4,40.0,2.7222222222222223,0.48949130617614584
wf_5,baseline,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,674.8506541092128,-32.51493458907873,-54.785643521855576,37.20206111145489,0.38276232916297626,21.951219512195124,41,-7.9304718509948104,40.87036610637808,67.15646661728903,0,0,0,0,0,0,0,0.0,0.0,0.0
wf_5,atr,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,750.4513742362085,-24.95486257637915,-43.97863743324428,31.278195340611433,0.4640213501973154,26.47058823529412,34,-7.339665463640927,35.80474326502417,59.347428790724734,7,7,0,0,0,0,0,0.0,0.0,0.0
wf_5,adx,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,920.9624079631972,-7.903759203680282,-15.31107722099787,17.657124514125037,0.7245942705079236,34.78260869565217,23,-3.436417045078384,27.377388901680867,46.54189062931269,18,0,18,0,0,0,0,0.0,0.0,0.0
wf_5,atr_adx,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,955.7678542443037,-4.423214575569625,-8.726703459238372,17.65712451412493,0.8287070528345764,38.095238095238095,21,-2.1062926550331547,26.387289891779876,43.86600984839817,20,7,18,0,0,0,0,0.0,0.0,0.0
wf_5,pullback,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,807.2232299917498,-19.27767700082502,-35.09503216577984,19.27767700082502,0.01643205815099947,7.142857142857142,14,-13.769769286303585,5.779415150817408,24.540086720831074,0,0,0,41,14,25,2,34.146341463414636,3.142857142857143,0.3510681727262316
wf_5,atr_pullback,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,814.0502482467857,-18.59497517532143,-33.98231597314748,18.59497517532143,0.017166595159628612,7.6923076923076925,13,-14.30382705793956,5.387980658530969,22.92427270886919,1,1,0,41,14,25,2,34.146341463414636,3.142857142857143,0.3638810371792013
wf_5,adx_pullback,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,884.3974169086293,-11.560258309137065,-21.96052040820069,11.560258309137065,0.029281779603886168,16.666666666666664,6,-19.26709718189511,3.3156804052498274,11.035013229676862,8,0,8,41,14,25,2,34.146341463414636,3.142857142857143,0.2087603465691034
wf_5,atr_adx_pullback,2026-01-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,4344,1000.0,884.3974169086293,-11.560258309137065,-21.96052040820069,11.560258309137065,0.029281779603886168,16.666666666666664,6,-19.26709718189511,3.3156804052498274,11.035013229676862,8,1,8,41,14,25,2,34.146341463414636,3.142857142857143,0.2087603465691034
